Code;C0030
Description;Fax control PWB system problem  Processing with the fax software was disabled due to a hardware or software problem.
Causes;Defective fax control PWB.
Remedy;Replace the fax control PWB and verify the operation.
Code;C0060
Description;Main PWB type mismatch error
Causes;Defective PWB.
Remedy;Run maintenance item U935 to contact the Service Administrative Division.
Code;C0070
Description;Abnormal detection of fax control PWB incompatibility  In the initial communication with the fax control PWB, any normal communication command is not transmitted.
Causes;Defective fax software. Defective fax control PWB.
Remedy;Defective fax software. Install the fax software. Defective fax control PWB. Replace the fax control PWB and verify the operation.
Code;C0100
Description;Backup memory (EEPROM) device problem (Main PWB)  Reading from or writing to EEPROM cannot be performed.
Causes;Defective main PWB. Device damage of EEPROM.
Remedy;Defective main PWB. Replace the main PWB and check for correct operation. Device damage of EEPROM. Contact the Service Administrative Division.
Code;C0120
Description;MAC address data error  For data in which the MAC address is invalid.
Causes;Defective main PWB.
Remedy;Replace the main PWB and check for correct operation.
Code;C0150
Description;Backup memory (EEPROM) device problem (Engine PWB)  Reading from or writing to EEPROM cannot be performed.
Causes;Defective engine PWB. Device damage of EEPROM.
Remedy;Defective engine PWB. Replace the engine PWB and check for correct operation. Device damage of EEPROM. Contact the Service Administrative Division.
Code;C0160
Description;Backup memory (EEPROM) data problem (Engine PWB)  Reading data from EEPROM is abnormal. Read and write data does not match 5 times continuously.
Causes;Data damage of EEPROM.
Remedy;Contact the Service Administrative Division.
Code;C0170
Description;Copy counts problem  A checksum error is detected in the main and engine backup memories for the copy counters.
Causes;Data damage of EEPROM. Defective PWB.
Remedy;Data damage of EEPROM. Contact the Service Administrative Division. Defective PWB. Replace the main PWB or engine PWB and check for correct operation.
Code;C0180
Description;Machine number mismatch error  Machine number of main PWB and engine PWB does not match.
Causes;Data damage of EEPROM.
Remedy;Data damage of EEPROM. Contact the Service Administrative Division.
Code;C0620
Description;FAX image DIMM problem  DIMM is not installed correctly. DIMM cannot be accessed.
Causes;DIMM installed incorrectly.  Defective main PWB.
Remedy;DIMM installed incorrectly. Check if the DIMM is inserted into the socket on the main PWB correctly. Defective main PWB. Replace the main PWB and check for correct operation.
Code;C0630
Description;DMA problem  DMA transmission of image data does not complete within the specified period of time.
Causes;Poor contact in the connector terminals. Defective main PWB.
Remedy;Poor contact in the connector terminals. Check the connection the signal cable for CIS and the main PWB, and the continuity across the connector terminals. Repair or replace if necessary. Defective main PWB. Replace the main PWB and check for correct operation.
Code;C0640
Description;Hard disk drive problem  The hard disk cannot be accessed.
Causes;Poor contact in the connector terminals. Defective hard disk. Defective main PWB.
Remedy;Poor contact in the connector terminals. Check the connection of connector YC49 on the main PWB and the connector on the hard disk. Repair or replace if necessary. Defective hard disk. Run U024 (HDD formatting) without turning the power off to initialize the hard disk. Replace the hard disk drive and check for correct operation if the problem is still detected after initialization. Defective main PWB. Replace the main PWB and check for correct operation.
Code;C0650
Description;FAX image DIMM check problem  Improper DIMM is installed.
Causes;DIMM installed incorrectly. DIMM of another machine is installed. Defective main PWB.
Remedy;DIMM installed incorrectly. Check if the DIMM is inserted into the socket on the main PWB correctly. DIMM of another machine is installed. Perform maintenance mode U671 (RECOVERY FAX DIMM). Defective main PWB. Replace the main PWB and check for correct operation.
Code;C0800
Description;Image processing problem  JAM05 is detected twice.
Causes;Defective main PWB.
Remedy;Defective main PWB. Replace the main PWB and check for correct operation.
Code;C0830
Description;Fax control PWB flash program area checksum error  A checksum error occurred with the program of the fax control PWB.
Causes;Defective fax software. Defective fax control PWB.
Remedy;Defective fax software. Install the fax software. Defective fax control PWB. Replace the fax control PWB and verify the operation.
Code;C0840
Description;Faults of RTC  The time is judged to go back based on the comparison of the RTC time and the current time or five years or more have passed.
Causes;Defective main PWB.  The battery is disconnected from the main PWB.
Remedy;Defective main PWB. Replace the main PWB and check for correct operation. The battery is disconnected from the main PWB. Check visually and remedy if necessary.
Code;C0870
Description;Fax control PWB to main PWB high capacity data transfer problem  High-capacity data transfer between the fax control PWB and the scanner MIP PWB was not normally performed even if the data transfer was retried 10 times.
Causes;Poor contact in the connector terminals. Defective PWB.
Remedy;Poor contact in the connector terminals. Check the connection of connector on the interface PWB and the connector on the fax control PWB, and the continuity across the connector terminals. Repair or replace if necessary. Defective PWB. Replace the fax control PWB or main PWB and check for correct operation.
Code;C0920
Description;Fax file system error  The backup data is not retained for file system abnormality of flash memory of the fax control PWB.
Causes;Defective fax control PWB.
Remedy;Defective fax control PWB. Replace the fax control PWB and verify the operation.
Code;C1010
Description;Lift motor 1 error  After cassette 1 is inserted, lift switch 1 does not turn on within 12 s. This error is detected four times successively.
Causes;Poor contact in the connector terminals. Broken gears or couplings of lift motor 1. Defective lift motor 1. Poor contact in the connector terminals. Defective lift switch 1.  Defective engine PWB.
