Model;Toshiba E-Studio 150
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Тип;лазерный/светодиодный
Технология печати;лазерная
Печать фотографий;-
Копир;+
Сканер;+
Факс;-
Телефон;-
Область применения;персональный
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Число страниц в месяц;2 000
Caption;Принтер
Двусторонняя печать;-
SubCaption;Макс. разрешение для ч/б печати
По X;600
По Y;600
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;15 стр/мин
EndSubCaption;Скорость ч/б печати
Время разогрева;30 с
Caption;Копир
Время выхода первой копии;9 с
Макс. количество копий за цикл;99
SubCaption;Значение масштаба
Минимальное;50 %
Максимальное;400 %
EndSubCaption;Значение масштаба
SubCaption;Макс. разрешение (ч/б)
По X;600 dpi
По Y;600 dpi
EndSubCaption;Макс. разрешение (ч/б)
SubCaption;Скорость ч/б копирования
A4;15 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
Макс. формат оригинала;A4
Оттенки серого;256
Устройство автоподачи оригиналов;одностороннее
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;52 г/м2
Максимальная;128 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Пленках;+
Этикетках;+
EndSubCaption;Печать на:
Ресурс девелопера;25 000 стр
Ресурс фотобарабана;25 000 стр
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;550 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
EndSubCaption;Вывод бумаги
Caption;Финишер
Сортер;-
Сортировка со сдвигом;-
Caption;Интерфейсы
Ethernet (RJ-45);-
Caption;Память/Процессор
Объем памяти;8 Мб
Caption;Габариты
Ширина;518 мм
Высота;296 мм
Глубина;463 мм
Вес;16 кг
Caption;Фото
main_image;toshiba_image/ToshibaE-Studio150_1580726968925.jpg
image;toshiba_image/ToshibaE-Studio150_1580726969514.jpg
